EAN,NAME,VALUE
828584379792350,Bacon,64.61
460784890129502,Fresh Shirt,88.33
613706785130279,Steel Gloves,83.09
130686589429034,Pants,19.5
131474623978513,Frozen Table,22.63
164957987359802,Unbranded Granite Shirt,54.48
792629529228444,Pants,53.8
782162559018341,Handcrafted Granite Keyboard,3.87
207614091740273,Steel Chips,72.22
793912469522599,For repair Pants,76.74
154433108766535,Ergonomic Cotton Pants,44.73
528065564705562,Hat,61.59
418804231997975,Metal Towels,86.98
256826465007363,Tuna,93.47
556309346908827,Sleek Concrete Chair,13.37
668179066696359,Shoes,58.83
945471132781899,Gently Used Bacon,14.49
457317104715681,Gorgeous Fish,17.8
117777618375139,Licensed Bacon,59.93
402261999901385,Keyboard,22.45
804167467202290,Tasty Chicken,72.23
840433356702043,Sleek Soft Pizza,4.03
469277212100551,Small Computer,33.13
648785819793238,Ergonomic Cheese,15.66
903474401327863,Salad,4.54
458433307916325,Pants,10.18
931272953246629,Mouse,82.55
332642759022957,Bacon,26.88
513366459778689,Rubber Pants,13.25
831193625731555,Concrete Ball,98.74
567787152924008,Awesome Fresh Soap,5.92
347987076103506,New Chicken,8.58
755565496193870,Rubber Towels,82.84
334803125183952,Rubber Bike,59.5
792788961024189,Sleek Shirt,45.6
943367113451021,Rubber Bike,10.94
170613139869535,Frozen Chicken,46.26
215788341093608,Mouse,41.72
531581656020275,Licensed Chicken,41.13
529682062470023,Car,56.6
610756497276662,Plastic Salad,7.65
653380132652221,Frozen Cheese,26.29
470373436150304,Intelligent Sausages,85.89
515009718956600,Metal Ball,5.72
385520927198663,For repair Concrete Shoes,14.29
578520049909086,Ball,35.98
333883864954020,Intelligent Wooden Fish,43.82
601187103587692,Generic Soft Towels,23.43
882340973402944,Tasty Table,22.46
985982378209462,Incredible Tuna,84.98
300616612617399,Cheese,83.39
256246333881561,Ergonomic Soft Chair,80.64
345110583447808,Bike,95.71
687952614381244,Soft Ball,9.76
185943118162146,Practical Pizza,45.41
122755082100406,Fresh Keyboard,24.12
197146910752435,Chicken,30.75
913271260083147,For repair Chicken,87.08
931325458533205,Steel Car,18.38
397712029749342,Shirt,84.51
666718272968529,Towels,75.34
444244183653284,Shirt,45.77
395522091622706,Generic Plastic Hat,29.61
711916340071130,Handmade Rubber Ball,55.74
687617028512127,Metal Cheese,29.18
198358643738101,Awesome Concrete Tuna,51.02
718433164328421,Towels,51.52
179049656392701,Table,12.6
903429067812012,Used Plastic Chips,36.21
981365655264605,Bacon,79.5
627019168453320,Cotton Salad,95.82
389802187049436,Sleek Soft Pants,40.86
912980059798147,Unbranded Pizza,70.44
996719596010401,Incredible Bacon,59.31
326635046816090,Soft Chicken,26.47
906899127972859,Plastic Shirt,28.4
386120346237081,Used Granite Sausages,7.56
382204701042613,Tuna,67.41
781078074655111,Generic Frozen Towels,8.4
477165366269007,Chicken,73.51
867416329948929,Bike,48.02
546230317592487,Refined Cheese,60.49
509151854858893,Sleek Bacon,56.94
937361863882969,Unbranded Plastic Salad,21.64
196732618304190,Rubber Sausages,34.14
896121865023270,Shirt,91.75
454154719028465,Rubber Bacon,32.74
423421540181251,Wooden Pants,19.58
620786463624693,Granite Chips,99.14
757021098759102,Bike,70.04
123292871113235,Awesome Frozen Sausages,11.34
790199280259904,Refined Fish,27.82
786326510018448,Chips,98.79
307716401084755,Cheese,96.73
419418971991776,Fish,18.79
676986625600765,Wooden Table,92.2
911808527383464,Sleek Pizza,88.61
733053945276232,Cotton Fish,43.44
383001751160602,Frozen Tuna,73.13
957183968569287,New Wooden Bacon,64.08
455960041908853,Fish,58.15
862114144372862,Sleek Metal Chips,60.91
978181932418039,Soap,32.65
533960414800319,Practical Wooden Shirt,18.76
477562350882559,Chair,95.79
726917996303243,Gorgeous Granite Tuna,64.15
291826251476333,Concrete Mouse,42.81
422754445410906,Awesome Cotton Chair,54.7
246306933771180,Tuna,8.29
603676740888798,Licensed Frozen Fish,78.94
892759770362778,Plastic Table,40.6
103277582534556,Small Wooden Table,41.86
425674473648036,Cotton Gloves,61.3
111200720853939,Frozen Table,58.44
406230255973687,Licensed Metal Gloves,81.75
912408659069576,Used Frozen Bike,34.01
737924154624611,Handmade Cotton Mouse,83.53
137129387194607,Chips,38.13
256989582356385,New Plastic Car,45.09
228485162024081,Awesome Plastic Fish,79.01
324133465050535,Ergonomic Shirt,19.24
793666047801910,Plastic Chair,66.36
793133246482556,Awesome Wooden Sausages,23.38
195210181164283,Fresh Tuna,76.87
332222100599314,Tasty Computer,81.69
416967818747008,New Soft Towels,73.95
534455966483245,Handmade Pants,91.38
945374248748446,Ergonomic Towels,67.77
775662034808168,Soft Car,68.54
469857337835835,Chair,6.89
234394307561695,Wooden Bacon,63.26
647878661820307,Tuna,25.08
265379486454793,Gloves,86.07
572996432453534,Concrete Mouse,78.64
385056149185540,Tasty Shoes,78.34
225553492903093,For repair Frozen Chicken,76.42
752399799140927,Soft Pants,78.36
514976383070594,Metal Towels,97.02
883499743871752,Used Towels,9.63
492951412644897,Handmade Soap,72.64
445590707100977,Used Pants,66.77
299315409653801,Refined Steel Gloves,83.61
862376528540023,Generic Granite Towels,12.79
558241095683170,Fresh Salad,80.01
433979279122900,Ergonomic Computer,81.94
320652801188750,Rustic Rubber Cheese,89.39
970091190460135,Used Granite Keyboard,98.17
450571986792386,Incredible Cheese,88.9
902693638697928,Fantastic Fish,88.8
157549060753222,Frozen Bike,36.11
473462564895623,Fish,51.78
